688831|AXIATA-C31|0.040|0.000|0.000|0.000|0.00|0
688832|AXIATA-C32|0.110|0.000|0.000|0.000|0.00|0
688833|AXIATA-C33|0.180|0.180|0.180|0.000|0.00|300
688834|AXIATA-C34|0.180|0.180|0.180|0.000|0.00|4
688835|AXIATA-C35|0.145|0.000|0.000|0.000|0.00|0
688836|AXIATA-C36|0.200|0.000|0.000|0.000|0.00|0
688837|AXIATA-C37|0.090|0.090|0.085|-0.005|-5.56|4
5106|AXREIT|1.750|1.760|1.800|+0.050|+2.86|18,532
2305|AYER|4.600|4.400|4.310|-0.290|-6.30|19
5021|AYS|0.340|0.340|0.345|+0.005|+1.47|5,393
7078|AZRB|0.490|0.490|0.505|+0.015|+3.06|48,598
7078WA|AZRB-WA|0.240|0.240|0.250|+0.010|+4.17|3,171
0098|BAHVEST|0.660|0.665|0.675|+0.015|+2.27|71,377
0098WA|BAHVEST-WA|0.415|0.420|0.435|+0.020|+4.82|34,868
7251|BARAKAH|0.110|0.110|0.105|-0.005|-4.55|161,557
4162|BAT|34.720|35.000|35.480|+0.760|+2.19|2,633
4162CM|BAT-CM|0.065|0.065|0.065|0.000|0.00|52
4162CN|BAT-CN|0.130|0.000|0.000|0.000|0.00|0
4162CO|BAT-CO|0.075|0.075|0.070|-0.005|-6.67|4
5248|BAUTO|2.320|2.310|2.330|+0.010|+0.43|122,657
5248C1|BAUTO-C1|0.080|0.090|0.080|0.000|0.00|900
5248CY|BAUTO-CY|0.140|0.000|0.000|0.000|0.00|0
5248CZ|BAUTO-CZ|0.205|0.200|0.210|+0.005|+2.44|3,600
6602|BCB|0.295|0.290|0.290|-0.005|-1.69|2,071
0187|BCMALL|0.195|0.195|0.200|+0.005|+2.56|4,700
6173|BDB|0.455|0.465|0.465|+0.010|+2.20|5,182
5190|BENALEC|0.195|0.195|0.195|0.000|0.00|1,634
9814|BERTAM|0.275|0.000|0.000|0.000|0.00|0
8133|BHIC|1.200|1.210|1.180|-0.020|-1.67|55
7005|BIG|0.410|0.420|0.410|0.000|0.00|1,319
5258|BIMB|4.200|4.200|4.190|-0.010|-0.24|513
5258WA|BIMB-WA|0.250|0.250|0.250|0.000|0.00|1,611
0195|BINACOM|0.390|0.390|0.390|0.000|0.00|1,916
6998|BINTAI|0.135|0.135|0.135|0.000|0.00|4,680
6998WA|BINTAI-WA|0.045|0.000|0.000|0.000|0.00|0
0179|BIOHLDG|0.205|0.205|0.210|+0.005|+2.44|1,421
0179WA|BIOHLDG-WA|0.085|0.080|0.080|-0.005|-5.88|800
7243|BIOOSMO|0.055|0.055|0.055|0.000|0.00|33,606
5032|BIPORT|4.790|4.800|4.810|+0.020|+0.42|70
3239|BJASSET|0.300|0.300|0.305|+0.005|+1.67|1,098
3239WB|BJASSET-WB|0.060|0.000|0.000|0.000|0.00|0
3395|BJCORP|0.265|0.265|0.265|0.000|0.00|2,445,263
339510|BJCORP-C10|0.005|0.000|0.000|0.000|0.00|0
339511|BJCORP-C11|0.020|0.015|0.015|-0.005|-25.00|2,000
3395LD|BJCORP-LD|0.345|0.345|0.340|-0.005|-1.45|2,832
3395LE|BJCORP-LE|0.385|0.000|0.000|0.000|0.00|0
3395WB|BJCORP-WB|0.040|0.045|0.045|+0.005|+12.50|3,050
3395WC|BJCORP-WC|0.075|0.070|0.075|0.000|0.00|7,520
5196|BJFOOD|1.640|1.630|1.620|-0.020|-1.22|2,933
4219|BJLAND|0.270|0.265|0.260|-0.010|-3.70|22,921
6025|BJMEDIA|0.150|0.000|0.000|0.000|0.00|0
1562|BJTOTO|2.320|2.340|2.340|+0.020|+0.86|3,024
1562CW|BJTOTO-CW|0.060|0.000|0.000|0.000|0.00|0
1562CX|BJTOTO-CX|0.090|0.000|0.000|0.000|0.00|0
1899|BKAWAN|16.980|16.980|17.040|+0.060|+0.35|255
5069|BLDPLNT|6.720|0.000|0.000|0.000|0.00|0
0508C5|BOC-C5|0.130|0.000|0.000|0.000|0.00|0
0168|BOILERM|0.530|0.530|0.530|0.000|0.00|965
9288|BONIA|0.260|0.255|0.250|-0.010|-3.85|3,256
7036|BORNOIL|0.040|0.045|0.045|+0.005|+12.50|19,090
7036WC|BORNOIL-WC|0.020|0.000|0.000|0.000|0.00|0
7036WD|BORNOIL-WD|0.015|0.020|0.020|+0.005|+33.33|660
6297|BOXPAK|1.080|0.000|0.000|0.000|0.00|0
6297WA|BOXPAK-WA|0.175|0.000|0.000|0.000|0.00|0
5254|BPLANT|0.805|0.805|0.805|0.000|0.00|1,019
5100|BPPLAS|1.100|1.100|1.100|0.000|0.00|20
5932|BPURI|0.185|0.185|0.185|0.000|0.00|31,548
9474|BRAHIMS|0.155|0.155|0.145|-0.010|-6.45|19,498
8761|BREM|0.770|0.765|0.790|+0.020|+2.60|205
9938|BRIGHT|0.195|0.200|0.200|+0.005|+2.56|660
7221|BSLCORP|0.405|0.360|0.370|-0.035|-8.64|182
2771|BSTEAD|1.340|1.330|1.300|-0.040|-2.99|5,047
0011|BTECH|0.305|0.305|0.350|+0.045|+14.75|48,686
7188|BTM|0.105|0.105|0.105|0.000|0.00|1
7188WA|BTM-WA|0.010|0.010|0.010|0.000|0.00|6,732
7188WB|BTM-WB|0.040|0.000|0.000|0.000|0.00|0
1818|BURSA|6.890|6.870|6.900|+0.010|+0.15|4,900
181820|BURSA-C20|0.005|0.000|0.000|0.000|0.00|0
181821|BURSA-C21|0.075|0.000|0.000|0.000|0.00|0
181822|BURSA-C22|0.050|0.000|0.000|0.000|0.00|0
181823|BURSA-C23|0.045|0.040|0.040|-0.005|-11.11|2,304
7174|CAB|0.600|0.605|0.605|+0.005|+0.83|2,987
7174WA|CAB-WA|0.450|0.000|0.000|0.000|0.00|0
0191|CABNET|0.285|0.285|0.285|0.000|0.00|1,267
0191WA|CABNET-WA|0.055|0.000|0.000|0.000|0.00|0
7154|CAELY|0.940|0.915|0.935|-0.005|-0.53|2,755
7154WA|CAELY-WA|0.550|0.000|0.000|0.000|0.00|0
7128|CAMRES|0.260|0.000|0.000|0.000|0.00|0
5105|CANONE|2.990|3.060|2.990|0.000|0.00|2,297
5229|CAP|0.010|0.000|0.000|0.000|0.00|0
0163|CAREPLS|0.160|0.160|0.160|0.000|0.00|3,850
5257|CARIMIN|0.875|0.885|0.860|-0.015|-1.71|63,671
5245|CARING|1.950|1.910|1.950|0.000|0.00|150
2836|CARLSBG|25.600|25.580|26.500|+0.900|+3.52|3,863
7076|CBIP|1.070|1.070|1.080|+0.010|+0.93|380
7076WA|CBIP-WA|0.010|0.000|0.000|0.000|0.00|0
2925|CCB|1.560|1.580|1.580|+0.020|+1.28|14
7035|CCK|0.610|0.615|0.615|+0.005|+0.82|10,994
7035WA|CCK-WA|0.130|0.125|0.125|-0.005|-3.85|4,054
2879|CCM|1.910|1.910|1.910|0.000|0.00|30
5195|CENSOF|0.150|0.150|0.145|-0.005|-3.33|2,998
5195WB|CENSOF-WB|0.005|0.000|0.000|0.000|0.00|0
8982|CEPAT|0.590|0.595|0.590|0.000|0.00|490
8435|CEPCO|0.645|0.000|0.000|0.000|0.00|0
8044|CFM|1.260|0.000|0.000|0.000|0.00|0
0579C1|CGARDEN-C1|0.105|0.000|0.000|0.000|0.00|0
7209|CHEETAH|0.310|0.000|0.000|0.000|0.00|0
7187|CHGP|0.365|0.000|0.000|0.000|0.00|0
7187WA|CHGP-WA|0.175|0.000|0.000|0.000|0.00|0
5738|CHHB|1.540|1.540|1.550|+0.010|+0.65|1,608
5738WB|CHHB-WB|0.400|0.000|0.000|0.000|0.00|0
0829EA|CHINAETF-MYR|5.830|5.790|5.790|-0.040|-0.69|2
0829EB|CHINAETF-USD|1.275|0.000|0.000|0.000|0.00|0
5273|CHINHIN|0.800|0.790|0.800|0.000|0.00|300
1929|CHINTEK|6.600|0.000|0.000|0.000|0.00|0
5007|CHINWEL|1.790|1.790|1.800|+0.010|+0.56|293
0501CG|CHMOBIL-CG|0.185|0.000|0.000|0.000|0.00|0
5797|CHOOBEE|1.610|0.000|0.000|0.000|0.00|0
7016|CHUAN|0.410|0.400|0.400|-0.010|-2.44|100
8052|CICB|0.590|0.000|0.000|0.000|0.00|0
2828|CIHLDG|1.450|1.440|1.400|-0.050|-3.45|26
1023|CIMB|5.330|5.380|5.330|0.000|0.00|102,305
102340|CIMB-C40|0.025|0.005|0.005|-0.020|-80.00|300
102341|CIMB-C41|0.075|0.000|0.000|0.000|0.00|0
102342|CIMB-C42|0.050|0.000|0.000|0.000|0.00|0
102343|CIMB-C43|0.025|0.000|0.000|0.000|0.00|0
102344|CIMB-C44|0.035|0.000|0.000|0.000|0.00|0
102345|CIMB-C45|0.060|0.055|0.055|-0.005|-8.33|12,376
102346|CIMB-C46|0.080|0.000|0.000|0.000|0.00|0
102347|CIMB-C47|0.070|0.000|0.000|0.000|0.00|0
0822EA|CIMBA40|1.855|1.830|1.830|-0.025|-1.35|3
0823EA|CIMBC50|1.630|1.600|1.595|-0.035|-2.15|560
7117|CJCEN|0.435|0.440|0.450|+0.015|+3.45|3,090
0514C3|CKHUTCH-C3|0.075|0.000|0.000|0.000|0.00|0
03001|CLOUD|0.300|0.000|0.000|0.000|0.00|0
7018|CME|0.040|0.000|0.000|0.000|0.00|0
7018LA|CME-LA|0.025|0.000|0.000|0.000|0.00|0
