Open,High,Low,Volume,Direction
9.45,9.45,9.45,500,1
9.19,9.19,9.19,350,0
9.19,9.19,9.19,550,0
9.4,9.4,9.4,1100,1
9.69,9.69,9.69,300,1
10,10,10,100,1
10.36,10.36,10.36,450,1
11.19,11.19,11.19,200,1
10.86,10.86,10.86,290,0
10.8,10.8,10.79,870,0
10.68,10.68,10.68,120,0
10.68,10.68,10.68,2000,0
10.35,10.35,10.35,250,0
10.59,10.6,10.58,380,1
10.76,10.76,10.76,490,1
11.1,11.1,11.1,500,1
11.25,11.26,11.25,2680,1
10.99,10.99,10.99,280,0
11.3,11.42,11.3,340,1
11.19,11.19,11.19,1000,0
11.28,11.28,11.28,570,1
11.51,11.51,11.51,200,1
11.31,11.35,11.31,200,0
11.12,11.12,11.12,500,0
11.37,11.37,11.37,3100,1
11.01,11.01,11.01,200,0
10.51,10.51,10.51,4000,0
11.2,11.2,11.2,200,1
11.29,11.29,11.29,100,1
11.45,11.45,11.45,100,1
11.65,11.65,11.65,2000,1
11.49,11.49,11.49,280,0
10.99,10.99,10.98,210,0
11,11,11,700,1
11.47,11.48,11.47,10000,1
11.6,11.6,11.6,180,1
11.11,11.11,11.11,440,0
10.95,10.95,10.95,100,0
10.58,10.58,10.58,-,0
10.88,10.88,10.88,22010,1
10.47,10.81,10.47,1160,0
10.6,10.7,10.6,70250,1
11.41,11.42,11.41,1180,1
11.18,11.18,11.18,1270,0
11.02,11.09,11.02,24420,0
11.08,11.08,11.08,-,0
11.28,11.28,11.04,1700,0
11.25,11.25,10.91,3770,1
11.32,11.32,10.97,6700,1
11.66,11.66,11.66,-,1
11.59,11.59,11.59,-,0
11.21,11.21,10.99,8370,0
10.79,10.79,10.79,-,0
10.96,11,10.96,410,1
11.06,11.06,11.06,-,1
10.98,10.98,10.96,6880,0
10.8,10.8,10.8,4690,0
10.76,10.76,10.65,310,0
11,11,10.76,2600,1
10.99,11.31,10.99,2100,1
11.33,11.33,11.33,-,1
10.87,10.91,10.87,250,0
10.87,10.87,10.87,-,0
10.7,11.23,10.7,580,1
11,11,11,-,0
11.72,11.72,11.72,-,1
11.96,11.96,11.72,430,0
11.64,12.18,11.64,4960,1
12.51,12.51,12.51,-,1
11.7,11.7,11.7,-,0
11.9,11.9,11.74,1850,1
11.95,11.99,11.95,530,1
11.35,11.5,11.35,3370,0
11.46,11.84,11.46,590,1
12.05,12.05,11.84,700,0
12.48,12.48,12.48,-,1
12.03,12.2,12.03,3930,0
12.17,12.2,12.17,880,1
12.3,12.45,12.3,1530,1
12.4,12.65,12.4,5050,1
12.59,12.59,12.25,1700,0
12.45,12.45,12.45,-,1
12.25,12.25,12.25,-,0
12.69,12.69,12.2,3510,0
12.2,12.68,12.2,10450,1
12.69,12.73,12.69,700,1
12.39,12.47,12.39,14990,0
11.99,12.05,11.85,11100,0
11.8,11.8,11.8,-,0
11.7,11.7,11.7,-,0
11.56,11.56,11.56,-,0
11.52,11.52,11.52,-,0
11.39,11.52,11.39,14880,0
11.56,11.56,11.52,760,0
11.76,11.76,11.76,-,1
11.76,11.76,11.76,-,0
11.27,12.01,11.27,860,1
12.01,12.01,12.01,-,0
12.01,12.01,12.01,-,0
11.41,11.82,11.41,2000,0
11.21,11.82,11.21,1150,0
11.67,11.67,11.02,590,0
11.28,11.28,11.28,-,0
11.28,11.63,11.28,3780,1
11.44,11.44,11.44,-,0
11.05,11.51,11.05,2310,1
11.6,11.61,11.6,46070,1
11.65,11.65,11.65,-,1
11.65,11.65,11.44,560,0
11.66,11.66,11.57,1650,1
11.7,11.7,11.69,9570,1
11.7,11.7,11.29,750,0
11.37,11.37,11.37,-,1
11.54,11.7,11.37,19410,1
11.37,11.37,11.37,-,0
11.63,11.63,11.63,-,1
11.77,11.77,11.73,200930,1
11.66,11.7,11.46,167670,0
11.74,11.74,11.6,232290,0
11.85,11.99,11.5,283760,1
11.49,11.65,11.45,163610,0
11.6,11.81,11.4,104420,0
11.7,11.7,11.23,27900,1
11.56,11.62,11.26,25470,0
11.5,11.72,11.39,15880,1
11.65,11.65,11.3,21310,0
12.45,20,12.05,13830,1
20,24,14.28,11870,0
19.15,19.15,13,18390,0
13.31,13.5,11.7,18950,0
11.76,11.76,11.4,45130,0
11.45,11.75,11.45,58930,1
11.8,14.6,11.45,15810,1
12.75,14.5,12.07,930,0
12.06,12.75,12.06,2560,1
12.4,14.5,12.06,1350,0
14.45,14.45,14.44,350,1
12.2,12.2,12.2,-,0
11.46,11.47,11.46,1750,0
11.5,12.19,11.5,2140,1
11.11,11.76,11.11,32470,0
11.61,11.61,11.12,1580,1
11.61,11.75,11.5,18710,1
